Teacher1 Simple_depth3 recursive independent simplicity_prior "[(('BE',), [0.034290000258812153, 3]), (('AB',), [0.37396619547229842, 11]), (('DE',), [0.37396619547229842, 11]), (('ABE',), [0.37396619547229842, 11]), (('ABCDE',), [0.028456102041809723, 31]), (('AC',), [0.37396619547229842, 11])]"
Teacher1 Simple_depth4 recursive independent simplicity_prior "[(('BE',), [0.03417955125426568, 3]), (('AB',), [0.15637030966573526, 11]), (('DE',), [0.21891843353202933, 16]), (('ABE',), [0.21891843353202933, 16]), (('ABCDE',), [0.028614699987297106, 31]), (('AC',), [0.15637030966573526, 11])]"
Teacher1 Simple_depth5 recursive independent simplicity_prior "[(('BE',), [0.034167717671144938, 3]), (('AB',), [0.375463703060811, 11]), (('DE',), [0.375463703060811, 11]), (('ABE',), [0.375463703060811, 11]), (('ABCDE',), [0.028635321683000314, 31]), (('AC',), [0.375463703060811, 11])]"
Teacher1 Complex_depth2 recursive dependent simplicity_prior "[(('BE',), [0.034107991855799019, 10]), (('AB',), [0.20997389356832341, 9]), (('DE',), [0.09765008338732184, 5]), (('ABE',), [0.023974298281971874, 25]), (('ABCDE',), [0.28991315129614276, 23]), (('AC',), [0.74193545214053236, 9])]"
Teacher1 unorderedAnd recursive dependent simplicity_prior "[(('BE',), [0.032366182278211045, 1]), (('AB',), [0.25805750878979689, 24]), (('DE',), [0.67741935477423854, 11]), (('ABE',), [0.99999999999999933, 1]), (('ABCDE',), [0.99999999999999933, 1]), (('AC',), [0.99999999999999933, 1])]"
Teacher1 Simple_depth2 recursive dependent simplicity_prior "[(('BE',), [0.27726341592396642, 3]), (('AB',), [0.20499449013084678, 9]), (('DE',), [0.080955321191615706, 5]), (('ABE',), [0.028169479220291456, 24]), (('ABCDE',), [0.2901179387367499, 23]), (('AC',), [0.74193546800575039, 9])]"
Teacher1 Simple_depth3 recursive dependent simplicity_prior "[(('BE',), [0.034290000258812153, 3]), (('AB',), [0.20497223095932277, 9]), (('DE',), [0.080953966513726633, 5]), (('ABE',), [0.028169479264416736, 24]), (('ABCDE',), [0.2901179387367499, 23]), (('AC',), [0.74193546800575039, 9])]"
Teacher1 Simple_depth4 recursive dependent simplicity_prior "[(('BE',), [0.03417955125426568, 3]), (('AB',), [0.20499838534465598, 9]), (('DE',), [0.080953965057783323, 5]), (('ABE',), [0.028169479264416753, 24]), (('ABCDE',), [0.2901179387367499, 23]), (('AC',), [0.74193546800575039, 9])]"
Teacher1 Simple_depth5 recursive dependent simplicity_prior "[(('BE',), [0.034167717671144938, 3]), (('AB',), [0.034166649449286886, 14]), (('DE',), [0.080953964995883046, 5]), (('ABE',), [0.028169479264416753, 24]), (('ABCDE',), [0.2901179387367499, 23]), (('AC',), [0.74193546800575039, 9])]"
Teacher2 Complex_depth2 non-recursive independent uniform_prior "[(('BE',), [0.033965076993422542, 3]), (('ABE',), [0.031114986153105689, 11]), (('A',), [0.24042466017947287, 23]), (('ABDE',), [0.24042466017947287, 23])]"
Teacher2 unorderedAnd non-recursive independent uniform_prior "[(('BE',), [0.15472878930224801, 1]), (('ABE',), [0.16653126868719806, 2]), (('A',), [0.11541879335526543, 26]), (('ABDE',), [0.093337433583620122, 5])]"
Teacher2 Simple_depth2 non-recursive independent uniform_prior "[(('BE',), [0.036548019806344798, 10]), (('ABE',), [0.17325282027061176, 12]), (('A',), [0.20376476921142306, 23]), (('ABDE',), [0.20376476921142306, 23])]"
Teacher2 Simple_depth3 non-recursive independent uniform_prior "[(('BE',), [0.27793290813391275, 3]), (('ABE',), [0.37281691459406385, 11]), (('A',), [0.23097514309959363, 23]), (('ABDE',), [0.23097514309959363, 23])]"
Teacher2 Simple_depth4 non-recursive independent uniform_prior "[(('BE',), [0.034106656744362744, 3]), (('ABE',), [0.031575521618121119, 13]), (('A',), [0.14872317620096687, 26]), (('ABDE',), [0.089233905720580126, 23])]"
Teacher2 Simple_depth5 non-recursive independent uniform_prior "[(('BE',), [0.034015786487891976, 10]), (('ABE',), [0.09494408691241675, 11]), (('A',), [0.089712632866768699, 26]), (('ABDE',), [0.089712632866768727, 23])]"
Teacher2 Complex_depth2 non-recursive dependent uniform_prior "[(('BE',), [0.033965076993422542, 3]), (('ABE',), [0.082922638936221316, 25]), (('A',), [0.027692437171017801, 21]), (('ABDE',), [0.054222292587025815, 29])]"
Teacher2 unorderedAnd non-recursive dependent uniform_prior "[(('BE',), [0.15472878930224801, 1]), (('ABE',), [0.037677495669657828, 10]), (('A',), [0.013274210801213169, 25]), (('ABDE',), [0.02653488922446301, 22])]"
Teacher2 Simple_depth2 non-recursive dependent uniform_prior "[(('BE',), [0.036548019806344798, 10]), (('ABE',), [0.043343357849616834, 25]), (('A',), [0.015328781602076669, 21]), (('ABDE',), [0.024338764055653824, 29])]"
Teacher2 Simple_depth3 non-recursive dependent uniform_prior "[(('BE',), [0.27793290813391275, 3]), (('ABE',), [0.044415022166442483, 25]), (('A',), [0.015656985288435569, 21]), (('ABDE',), [0.022448606974153414, 29])]"
Teacher2 Simple_depth4 non-recursive dependent uniform_prior "[(('BE',), [0.034106656744362744, 3]), (('ABE',), [0.045806694943394476, 25]), (('A',), [0.016263523858278641, 21]), (('ABDE',), [0.022115378403296367, 29])]"
Teacher2 Simple_depth5 non-recursive dependent uniform_prior "[(('BE',), [0.034015786487891976, 10]), (('ABE',), [0.046120012445369458, 25]), (('A',), [0.016483427735699701, 21]), (('ABDE',), [0.022122674461155786, 29])]"
Teacher2 Complex_depth2 non-recursive independent simplicity_prior "[(('BE',), [0.17055907959959041, 3]), (('ABE',), [0.27536355952625619, 14]), (('A',), [0.14636937018057788, 23]), (('ABDE',), [0.087671063424453105, 28])]"
Teacher2 unorderedAnd non-recursive independent simplicity_prior "[(('BE',), [0.040748750514006463, 1]), (('ABE',), [0.039125557287935327, 2]), (('A',), [0.062527879539106088, 29]), (('ABDE',), [0.032753090353789073, 6])]"
Teacher2 Simple_depth2 non-recursive independent simplicity_prior "[(('BE',), [0.035682844272099876, 10]), (('ABE',), [0.17941536097219946, 16]), (('A',), [0.13608520526652029, 23]), (('ABDE',), [0.081651123159912159, 28])]"
Teacher2 Simple_depth3 non-recursive independent simplicity_prior "[(('BE',), [0.03473326491450434, 10]), (('ABE',), [0.092873362602997139, 11]), (('A',), [0.23103866147028881, 23]), (('ABDE',), [0.23103866147028881, 23])]"
Teacher2 Simple_depth4 non-recursive independent simplicity_prior "[(('BE',), [0.24085414239794328, 4]), (('ABE',), [0.093794068012760801, 20]), (('A',), [0.20552350466115871, 23]), (('ABDE',), [0.20552350466115871, 23])]"
Teacher2 Simple_depth5 non-recursive independent simplicity_prior "[(('BE',), [0.034366212543583741, 10]), (('ABE',), [0.31309113076358758, 13]), (('A',), [0.088323088279680523, 28]), (('ABDE',), [0.14720514713280089, 23])]"
Teacher2 Complex_depth2 non-recursive dependent simplicity_prior "[(('BE',), [0.17055907959959041, 3]), (('ABE',), [0.077600531647658094, 25]), (('A',), [0.02603621870063413, 21]), (('ABDE',), [0.050295635268917296, 29])]"
Teacher2 unorderedAnd non-recursive dependent simplicity_prior "[(('BE',), [0.040748750514006463, 1]), (('ABE',), [0.19748643506412192, 2]), (('A',), [0.0021343722343507838, 28]), (('ABDE',), [0.020853208648583896, 7])]"
Teacher2 Simple_depth2 non-recursive dependent simplicity_prior "[(('BE',), [0.035682844272099876, 10]), (('ABE',), [0.060728619853728336, 25]), (('A',), [0.020907862171204817, 21]), (('ABDE',), [0.03732123262980095, 29])]"
